['Jul 28, 2021', '$138.28']
['Jul 29, 2021', '$143.38']
['Jul 30, 2021', '$152.85']
['Jul 31, 2021', '$156.38']
['Aug 01, 2021', '$149.74']
['Aug 02, 2021', '$135.03']
['Aug 03, 2021', '$126.54']
['Aug 04, 2021', '$136.22']
['Aug 05, 2021', '$138.90']
['Aug 06, 2021', '$141.86']
['Aug 07, 2021', '$145.46']
['Aug 08, 2021', '$150.56']
['Aug 09, 2021', '$157.75']
['Aug 10, 2021', '$159.44']
['Aug 11, 2021', '$155.83']
['Aug 12, 2021', '$159.09']
['Aug 13, 2021', '$174.07']
['Aug 14, 2021', '$171.80']
['Aug 15, 2021', '$175.04']
['Aug 16, 2021', '$174.62']
['Aug 17, 2021', '$163.96']
['Aug 18, 2021', '$159.59']
['Aug 19, 2021', '$164.37']
['Aug 20, 2021', '$174.54']
['Aug 21, 2021', '$178.95']
['Aug 22, 2021', '$176.89']
['Aug 23, 2021', '$176.32']
['Aug 24, 2021', '$165.25']
['Aug 25, 2021', '$178.08']
['Aug 26, 2021', '$175.56']
['Aug 27, 2021', '$178.40']
['Aug 28, 2021', '$173.88']
['Aug 29, 2021', '$179.29']
['Aug 30, 2021', '$166.21']
['Aug 31, 2021', '$175.05']
['Sep 01, 2021', '$181.86']
['Sep 02, 2021', '$178.14']
['Sep 03, 2021', '$178.48']
